id,name,sport_id
1,Pickleball Court 1,1
2,Pickleball Court 2,1
3,Pickleball Court 3,1
4,Pickleball Court 4,1
5,Pickleball Court 5,1
6,Pickleball Court 6,1
7,Pickleball Court 7,1
8,Pickleball Court 8,1
9,Badminton Court 1,2
10,Badminton Court 2,2
11,Badminton Court 3,2
12,Badminton Court 4,2
13,Badminton Court 5,2
14,Badminton Court 6,2
15,Badminton Court 7,2
16,Badminton Court 8,2
17,Basketball Court 1,3
18,Basketball Court 2,3
19,Basketball Court 3,3
20,Basketball Court 4,3
21,Futsal Court 1,4
22,Futsal Court 2,4
23,Futsal Court 3,4
24,Futsal Court 4,4
